"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2022","0.00002430","0.00002461","0.00002476","0.00002383","296.81B","-1.26%"
"Mar 05, 2022","0.00002461","0.00002356","0.00002495","0.00002314","321.72B","4.46%"
"Mar 04, 2022","0.00002356","0.00002506","0.00002524","0.00002313","550.39B","-5.99%"
"Mar 03, 2022","0.00002506","0.00002590","0.00002618","0.00002454","7,436.21B","-3.24%"
"Mar 02, 2022","0.00002590","0.00002711","0.00002717","0.00002558","10,866.28B","-4.46%"
"Mar 01, 2022","0.00002711","0.00002579","0.00002841","0.00002539","16,236.25B","5.12%"
"Feb 28, 2022","0.00002579","0.00002343","0.00002593","0.00002286","12,476.14B","10.07%"
"Feb 27, 2022","0.00002343","0.00002444","0.00002499","0.00002312","9,889.93B","-4.13%"
"Feb 26, 2022","0.00002444","0.00002488","0.00002586","0.00002422","8,670.20B","-1.77%"
"Feb 25, 2022","0.00002488","0.00002384","0.00002505","0.00002305","14,511.38B","4.36%"
"Feb 24, 2022","0.00002384","0.00002486","0.00002511","0.00002080","31,889.53B","-4.10%"
"Feb 23, 2022","0.00002486","0.00002495","0.00002737","0.00002461","15,165.29B","-0.36%"
"Feb 22, 2022","0.00002495","0.00002402","0.00002519","0.00002313","12,001.90B","3.87%"
"Feb 21, 2022","0.00002402","0.00002547","0.00002748","0.00002398","16,281.27B","-5.69%"
"Feb 20, 2022","0.00002547","0.00002749","0.00002760","0.00002492","9,091.97B","-7.35%"
"Feb 19, 2022","0.00002749","0.00002810","0.00002893","0.00002710","6,511.21B","-2.17%"
"Feb 18, 2022","0.00002810","0.00002822","0.00002994","0.00002784","10,355.86B","-0.43%"
"Feb 17, 2022","0.00002822","0.00003090","0.00003248","0.00002776","15,717.77B","-8.67%"
"Feb 16, 2022","0.00003090","0.00003125","0.00003158","0.00003000","8,177.27B","-1.12%"
"Feb 15, 2022","0.00003125","0.00002958","0.00003170","0.00002955","10,296.33B","5.65%"
"Feb 14, 2022","0.00002958","0.00003010","0.00003080","0.00002871","10,292.35B","-1.73%"
"Feb 13, 2022","0.00003010","0.00002914","0.00003217","0.00002842","14,293.94B","3.58%"
"Feb 12, 2022","0.00002906","0.00002870","0.00002980","0.00002763","11,916.31B","1.25%"
"Feb 11, 2022","0.00002870","0.00003083","0.00003233","0.00002796","14,363.28B","-6.97%"
"Feb 10, 2022","0.00003085","0.00003296","0.00003364","0.00003060","16,419.22B","-6.40%"
"Feb 09, 2022","0.00003296","0.00003092","0.00003399","0.00003046","20,022.36B","6.60%"
"Feb 08, 2022","0.00003092","0.00003253","0.00003496","0.00002943","32,046.85B","-4.95%"
"Feb 07, 2022","0.00003253","0.00002844","0.00003517","0.00002716","40,456.37B","14.38%"
"Feb 06, 2022","0.00002844","0.00002250","0.00002860","0.00002225","19,621.24B","26.34%"
